Power,H,T,P,t1,p1,t2,p2,t4,p4,m4,m_gas,CLCSO
152.1207,29.63688469,24.02376938,100.80941159999999,24.3,-0.07,400.4,1.14,587.0404,0.3,1152741,48659,82.94567871
151.4554,30.86913109,24.00090981,100.8085388,24.3,-0.07,400.5,1.14,587.1134,0.27,1145358,48481,82.94970703
152.3695,32.97769547,24.04609299,100.80633540000001,24.3,-0.07,400.3,1.14,587.2455,0.3,1112892,48566,83.06925964
152.2235,31.37701035,24.058504100000004,100.80661009999999,24.4,-0.07,400.4,1.14,587.4263,0.3,1136543,48540,82.93800354
152.0226,33.67075729,24.02923965,100.80858149999999,24.2,-0.07,400.4,1.14,586.9487,0.3,1139292,48521,82.92197418
152.0016,33.36882019,24.05169296,100.8062805,24.3,-0.07,400.4,1.14,586.9271,0.31,1140948,48565,82.92005157
151.6079,33.69278336,24.10860825,100.8007263,24.4,-0.07,400.3,1.14,586.7883,0.3,1133678,48501,82.93177795
152.1386,31.17094612,24.10547256,100.80170290000001,24.3,-0.07,400.4,1.14,586.8876,0.28,1109056,48509,82.93009186
152.16299999999998,30.73081589,24.05642319,100.8024963,24.1,-0.07,400.2,1.14,586.5497,0.33,1122618,48521,82.90142822
151.8151,30.88631058,24.01524162,100.8015564,24.0,-0.07,400.2,1.14,586.4528,0.32,1120136,48518,82.87783813
152.0615,33.18362045,24.06362152,100.8038574,24.1,-0.07,400.3,1.14,586.5199,0.3,1136224,48567,82.90380096
151.7474,30.47567749,24.05810547,100.8023193,24.3,-0.07,400.4,1.14,586.799,0.3,1149480,48526,82.93968201
152.0821,31.46214485,24.002620699999998,100.79927370000001,24.2,-0.07,400.3,1.14,586.7153,0.29,1089287,48565,82.93609619
153.4443,31.72400093,24.01549911,100.7992371,24.2,-0.07,400.2,1.14,586.4733,0.3,1195943,48792,83.08073425
152.5948,31.13854218,23.95556068,100.80089720000001,24.1,-0.07,400.0,1.14,586.8587,0.29,1115793,48443,82.88697815
152.0139,30.18793297,23.91538048,100.8036072,24.1,-0.07,400.0,1.14,586.7202,0.28,1175233,48561,82.89124298
152.1852,30.88140869,23.87616539,100.8004883,24.0,-0.07,399.7,1.14,586.9396,0.29,1150490,48523,82.91055298
152.0888,29.72647095,23.83353043,100.7992859,23.9,-0.07,399.9,1.14,586.8722,0.29,1135486,48574,82.88999939
152.2243,30.79231071,23.81384468,100.7981079,24.0,-0.07,400.2,1.14,586.4813,0.27,1143364,48674,82.93021393
151.9857,30.89593506,23.82026672,100.7994995,23.9,-0.07,400.2,1.14,586.4824,0.26,1101308,48407,82.81730652
152.0403,30.58965874,23.80995941,100.79763179999999,23.9,-0.07,400.1,1.14,586.2134,0.25,1160294,48499,82.86377716
151.7818,29.53005791,23.79005814,100.798175,23.9,-0.07,400.1,1.14,586.2305,0.27,1186911,48549,82.86700439
151.9151,29.23110771,23.77027702,100.8025879,23.9,-0.07,400.0,1.14,586.3049,0.28,1087270,48687,82.97413635
151.31,30.43522644,23.74144554,100.8032593,23.9,-0.07,399.9,1.14,586.3874,0.28,1069812,48619,82.89765167
152.6994,30.69502831,23.75249672,100.7994446,23.9,-0.07,399.9,1.14,586.6171,0.27,1141348,48683,83.05105591
151.8491,30.60526085,23.77175522,100.7982422,23.8,-0.07,399.8,1.14,586.2942,0.28,1105265,48593,82.88278198
152.4051,30.33860397,23.76425934,100.7929993,23.9,-0.07,399.8,1.14,586.2136,0.3,1129742,48648,82.94773865
152.0265,29.36379623,23.75854874,100.7954651,24.1,-0.07,399.8,1.14,586.7090000000001,0.28,1107797,48451,82.90711212
151.878,29.67622566,23.79207993,100.79755250000001,24.0,-0.07,399.9,1.14,586.4619,0.27,1164251,48538,82.92015839
151.8856,30.86670876,23.79504776,100.795343,23.8,-0.07,399.9,1.14,586.3349,0.26,1121200,48520,82.89392853
151.7566,30.89912605,23.81180954,100.7978333,23.9,-0.07,399.9,1.14,586.2432,0.24,1180940,48534,82.87969971
151.6973,31.22382736,23.80127525,100.7985168,23.7,-0.07,400.0,1.14,586.062,0.27,1148885,48630,82.90615845
153.1232,30.39417458,23.75208664,100.7940735,23.8,-0.07,399.8,1.14,586.8036,0.28,1120019,48670,83.11148071
154.2274,29.82192612,23.76807404,100.7999939,23.7,-0.07,399.9,1.15,587.7132,0.31,1135959,49062,83.445755
154.4096,31.07839966,23.70684814,100.7968689,23.6,-0.07,399.8,1.15,588.1403,0.31,1098870,48751,83.16957092
152.2768,30.63635826,23.69487381,100.79836429999999,23.6,-0.07,399.8,1.14,587.7063,0.3,1176445,48664,82.97845459
152.3171,30.674627299999997,23.70537186,100.79406740000002,23.6,-0.07,399.5,1.14,586.5067,0.3,1118809,48560,82.7767868
152.8237,31.31422806,23.67058754,100.7976807,23.6,-0.07,399.5,1.14,586.1497,0.3,1106777,48684,82.91690826
151.9683,29.96931839,23.65206718,100.79717409999999,23.5,-0.07,399.4,1.14,586.064,0.31,1127371,48452,82.74740601
151.6514,29.39550781,23.5762825,100.79901120000001,23.4,-0.07,399.4,1.14,585.6685,0.28,1089625,48498,82.78601837
151.9267,29.58701134,23.50298882,100.80248409999999,23.5,-0.07,399.5,1.14,585.9124,0.3,1132992,48512,82.80535889
151.8954,29.95732498,23.47267532,100.7962402,23.5,-0.07,399.4,1.14,585.8889,0.3,1078393,48435,82.82300568
152.4879,30.25606537,23.43303299,100.7978149,23.7,-0.07,399.4,1.14,586.7574,0.3,1145400,48830,83.00244141
151.4724,30.12853241,23.37570763,100.80031740000001,23.6,-0.07,399.6,1.14,586.3263,0.29,1122426,48422,82.7999649
142.6532,31.47153664,23.13692284,100.7983398,23.2,-0.07,395.1,1.1,587.6508,0.23,1081097,46622,80.54957581
142.6363,30.97582245,23.08279228,100.8011719,23.1,-0.07,395.0,1.1,587.7231,0.22,1099269,46700,80.55303955
143.2059,30.75853729,23.08439064,100.7989807,23.2,-0.07,395.1,1.1,587.9604,0.21,1041548,46652,80.57829285
143.3443,30.58925629,23.06619453,100.8009277,23.4,-0.07,395.1,1.1,588.4084,0.19,1053258,46875,80.85402679
142.6241,30.92797852,23.06567001,100.7994934,23.4,-0.07,395.0,1.1,588.8755,0.18,1069199,46628,80.49993134
142.2465,30.57029343,22.97883034,100.79921879999999,23.4,-0.07,395.0,1.1,588.3016,0.2,1122242,46661,80.61279297
142.2856,31.80077171,22.93077278,100.8015076,23.3,-0.07,395.0,1.1,588.2536,0.19,1064765,46602,80.55538940000001
142.2128,31.78772163,22.97059059,100.80451049999999,23.4,-0.07,395.0,1.1,588.1312,0.2,1055077,46531,80.53445435
142.8449,32.15049362,22.957017899999997,100.80087890000001,23.4,-0.07,395.1,1.1,588.0408,0.21,1054920,46619,80.54747009
142.8497,31.0410099,22.89697456,100.8008667,23.3,-0.07,394.9,1.1,587.8788,0.21,1054648,46737,80.57722473
142.6217,30.97776985,22.82888222,100.8043213,23.1,-0.07,394.9,1.1,587.9376,0.2,1114005,46518,80.49508667
142.6355,31.72194672,22.80805206,100.8017578,23.3,-0.07,394.9,1.1,587.5118,0.19,1132463,46618,80.4756546
142.3732,32.59417725,22.78708649,100.8036072,23.3,-0.07,395.0,1.1,587.9069999999999,0.19,1084927,46618,80.5196991
142.4185,32.19190979,22.75095558,100.8008057,23.3,-0.07,394.9,1.1,587.9769,0.18,1087242,46650,80.51668549
142.0218,32.32870865,22.82032394,100.7995728,23.4,-0.07,395.2,1.1,588.3831,0.16,1085504,46734,80.52874756
142.582,31.89893913,22.79858589,100.80429079999999,23.3,-0.07,395.3,1.1,588.158,0.19,1083938,46578,80.49291992
142.1456,31.94609451,22.769023899999997,100.80314940000001,23.4,-0.07,395.2,1.1,588.0829,0.19,1094310,46530,80.51389313
142.3621,31.82807541,22.73396111,100.8037781,23.7,-0.07,395.1,1.1,588.6495,0.17,1088351,46638,80.56569672
142.4224,32.57621002,22.72615814,100.8006714,23.6,-0.07,395.1,1.1,588.7813,0.2,1090036,46651,80.56537628
142.2485,32.4312706,22.67723656,100.7976196,23.6,-0.07,395.3,1.1,588.7944,0.2,1092159,46590,80.56754303
142.1783,33.09452057,22.66526031,100.8023621,23.3,-0.07,395.1,1.1,588.7148,0.21,1059570,46629,80.56165314
142.1994,32.64219666,22.62146568,100.80537109999999,23.2,-0.07,394.9,1.1,588.3032,0.21,1062822,46636,80.4954834
143.0045,33.52770233,22.70114899,100.80115359999999,23.5,-0.07,395.0,1.1,588.6556,0.2,1040469,46677,80.557724
142.1774,33.42604065,22.77697754,100.8029724,23.4,-0.07,395.1,1.1,588.5727,0.22,1085240,46542,80.54056549
142.6261,32.30820084,22.74089813,100.79965209999999,23.4,-0.07,394.9,1.1,588.5698,0.22,1115235,46666,80.55771637
142.3739,32.31835556,22.68247223,100.8026184,23.4,-0.07,395.0,1.1,588.6664,0.23,1111091,46728,80.64587402
143.1597,33.62561798,22.72080421,100.8013733,23.5,-0.07,395.1,1.1,589.1433,0.22,1081130,46592,80.65500641
142.7845,32.82795715,22.777954100000002,100.8027222,23.5,-0.07,395.0,1.1,589.2807,0.2,1105015,46832,80.65572357
142.3117,33.0034256,22.81103516,100.8010803,23.5,-0.07,395.2,1.1,589.1080000000001,0.21,1044362,46614,80.56430817
141.9513,32.62203598,22.81131744,100.7980469,23.7,-0.07,395.3,1.1,588.8371,0.2,1042639,46671,80.57500458
142.612,32.39749527,22.75124168,100.7969421,23.3,-0.07,395.1,1.1,588.6036,0.18,1094146,46618,80.52061462
141.9313,33.01116562,22.72441864,100.8022278,23.5,-0.07,394.9,1.1,588.8536,0.19,1090058,46619,80.54360962
142.6483,33.64694595,22.75773621,100.8012756,23.6,-0.07,395.1,1.1,589.0508,0.19,1036225,46714,80.60340118
142.3914,33.933399200000004,22.83659935,100.8026917,23.8,-0.07,395.3,1.1,589.0864,0.18,1055460,46655,80.56324005
142.3537,34.30806351,22.85936165,100.8009827,23.7,-0.07,395.3,1.09,589.0166,0.19,1037305,46639,80.59777832
142.3486,33.73384094,22.87892342,100.79721070000001,23.8,-0.07,395.2,1.09,589.251,0.17,1096235,46679,80.60058594
142.4113,33.74580383,22.86902618,100.80040890000001,23.8,-0.07,395.2,1.09,589.0802,0.22,1124175,46594,80.58756256
143.1996,32.84553146,22.84670067,100.8046936,23.7,-0.07,395.3,1.1,589.7115,0.22,1068878,46775,80.80131531
142.4552,34.83480835,22.85115623,100.797467,23.8,-0.07,395.2,1.09,589.7569,0.2,1116497,46617,80.54119109999999
142.5959,33.45359039,22.90961456,100.8028015,23.8,-0.07,395.3,1.1,589.3825,0.2,1082673,46621,80.565979
142.0752,33.1228447,22.89642334,100.80373540000001,23.4,-0.07,395.2,1.1,589.0933,0.19,1096998,46629,80.55968475
142.9597,33.47857666,22.93857765,100.8010681,23.6,-0.07,395.1,1.1,588.8666,0.2,1093606,46594,80.52822876
143.1249,32.55662155,22.89171791,100.8038086,23.9,-0.07,395.3,1.1,589.9946,0.17,1088322,46959,80.97531891
142.879,34.75340271,22.97223473,100.8004822,23.7,-0.07,395.4,1.1,590.2013,0.17,1064023,46803,80.76412201
143.2675,32.92476273,23.0394001,100.80046999999999,23.8,-0.07,395.5,1.1,590.0175,0.15,1054022,46738,80.75324249
142.8319,31.84644508,22.92280006,100.79649659999998,23.9,-0.07,395.4,1.1,590.0695,0.15,1073022,46842,80.75444031
142.6805,32.51441193,22.8727951,100.798291,24.1,-0.07,395.5,1.1,590.3711,0.15,1071982,46848,80.829216
142.9778,32.15822983,22.84777832,100.7999329,23.7,-0.07,395.5,1.1,590.225,0.15,1033719,46823,80.74019623
143.1842,32.74694443,22.73303223,100.80055540000001,23.7,-0.07,395.6,1.1,590.109,0.16,1069132,46789,80.72600555
142.9278,32.84806442,22.69193649,100.7963257,24.0,-0.07,395.4,1.1,589.9878,0.2,1084934,46728,80.71006012
142.3771,31.73813057,22.73729134,100.7958557,23.5,-0.07,395.5,1.1,589.8037,0.19,1115273,46702,80.68761444
142.8494,31.50404167,22.78893852,100.7941345,23.3,-0.07,395.3,1.1,589.1899,0.18,1068991,46792,80.65497589
143.046,31.59858322,22.75560188,100.7926758,23.5,-0.07,395.2,1.1,589.2935,0.19,1066968,46756,80.675354
142.9922,31.21681404,22.7329483,100.7935303,24.1,-0.07,395.4,1.1,590.1382,0.19,1126134,46827,80.81034088
142.7913,30.59729576,22.808113100000003,100.7925232,23.8,-0.07,395.6,1.1,590.0505,0.18,1126190,46819,80.78603363
142.9774,31.00722313,22.88722229,100.7947449,23.9,-0.07,395.6,1.1,590.0817,0.16,1131601,46769,80.743927
142.8712,30.08705902,22.95258904,100.7978088,23.9,-0.07,395.7,1.1,589.9341,0.18,1048995,46768,80.71012878
142.8946,29.98794556,23.00316048,100.79597779999999,23.4,-0.07,395.6,1.1,589.5674,0.16,1072359,46649,80.64617157
142.4432,29.25624657,23.01230621,100.7986145,23.4,-0.07,395.4,1.1,589.2632,0.19,1073887,46751,80.64997101
143.0749,29.36294174,23.09418297,100.7975281,23.5,-0.07,395.3,1.1,589.3246,0.21,1082277,46752,80.69586945
142.6108,28.92217827,23.10662079,100.7956482,23.6,-0.07,395.4,1.1,589.6185,0.23,1103300,46811,80.73091125
143.316,29.45609093,23.123909,100.7949219,23.7,-0.07,395.5,1.1,589.7839,0.23,1112850,46826,80.75402069
142.84799999999998,29.62430954,23.16858673,100.7911865,23.5,-0.07,395.5,1.1,589.8533,0.22,1111529,46742,80.68769073
142.7154,28.98487282,23.15122032,100.791925,23.7,-0.07,395.4,1.1,589.7076,0.23,1076164,46827,80.72364807
142.7488,29.11162949,23.12162781,100.7928101,23.9,-0.07,395.5,1.1,589.8535,0.22,1068219,46749,80.72152709999999
