Power,p2,m_gas
228.1879,1.5,64497
228.6107,1.5,64355
228.0664,1.5,64338
227.8415,1.5,64373
228.2508,1.5,64428
228.2395,1.5,64333
227.8856,1.5,64319
227.8408,1.5,64471
228.6864,1.5,64480
227.8221,1.5,64433
228.0375,1.5,64377
228.0635,1.5,64436
228.2025,1.5,64461
228.1551,1.5,64476
228.0065,1.5,64371
227.7291,1.5,64319
228.0564,1.5,64369
228.3275,1.5,64551
228.1799,1.5,64194
228.3253,1.5,64353
228.5448,1.5,64450
228.4427,1.5,64316
228.527,1.5,64408
228.1443,1.5,64445
229.0657,1.5,64501
228.7719,1.5,64351
228.2338,1.5,64655
228.5576,1.5,64682
229.4756,1.51,64534
228.3982,1.5,64478
228.3534,1.5,64407
227.9939,1.5,64447
227.8011,1.5,64360
228.0644,1.5,64324
228.3606,1.5,64300
228.5341,1.5,64343
228.2169,1.5,64392
228.1182,1.5,64488
228.0423,1.5,64417
229.098,1.5,64458
229.3554,1.5,64657
228.2426,1.5,64293
228.0149,1.5,64301
228.516,1.5,64455
228.2607,1.5,64256
228.063,1.5,64442
228.4975,1.5,64354
228.1966,1.5,64211
227.9058,1.5,64388
228.3173,1.5,64443
227.5855,1.5,64227
228.9435,1.5,64317
228.9426,1.5,64314
228.7783,1.5,64404
228.8227,1.5,64313
229.2424,1.5,64539
228.4554,1.5,64395
229.2736,1.5,64771
228.5861,1.5,64443
229.3085,1.5,64262
228.3505,1.5,64462
227.8224,1.5,64262
228.0451,1.5,64303
228.4523,1.5,64351
231.1034,1.51,64928
231.1149,1.51,64931
233.4812,1.51,65349
232.0847,1.51,65006
231.8277,1.51,65083
231.4657,1.5,64866
230.4579,1.5,64660
230.2496,1.5,64637
230.3895,1.5,64690
230.5666,1.5,64637
230.3911,1.5,64714
230.3856,1.5,64690
230.2603,1.5,64708
230.1945,1.5,64741
230.6048,1.5,64736
230.5752,1.5,64835
230.8695,1.5,64912
231.2323,1.5,64717
230.7496,1.5,64669
230.5072,1.5,64680
231.7584,1.5,64917
230.5488,1.5,64610
230.0667,1.5,64731
230.4272,1.5,64666
230.2227,1.5,64638
230.3148,1.5,64580
229.8968,1.5,64540
230.1022,1.5,64603
230.2121,1.5,64554
229.7247,1.5,64714
230.4579,1.5,64649
230.1548,1.5,64752
229.7814,1.5,64519
230.4615,1.5,64590
230.0428,1.5,64614
230.1353,1.5,64625
230.4988,1.5,64576
230.4051,1.5,64608
230.1729,1.5,64655
230.0868,1.5,64649
230.3158,1.5,64678
229.5768,1.5,64689
230.7321,1.5,64671
229.7924,1.5,64617
229.7296,1.5,64660
230.4016,1.5,64549
230.1828,1.5,64624
229.8671,1.5,64662
229.6182,1.5,64652
229.931,1.5,64664
229.7241,1.5,64606
230.0398,1.5,64598
229.9155,1.5,64779
229.9576,1.5,64690
229.7699,1.5,64738
230.005,1.5,64697
229.9919,1.5,64711
230.4051,1.5,64622
229.9556,1.5,64711
229.5968,1.5,64491
229.8713,1.5,64607
229.8195,1.5,64686
229.7333,1.5,64525
230.3585,1.5,64615
229.4933,1.5,64587
229.5711,1.5,64451
229.8298,1.5,64627
229.1445,1.5,64547
229.791,1.5,64423
230.0029,1.5,64557
229.6406,1.5,64617
230.2958,1.5,64601
229.5823,1.5,64589
229.6624,1.5,64608
229.7664,1.5,64408
229.6203,1.5,64656
230.1155,1.5,64626
229.6235,1.5,64538
229.8387,1.5,64581
229.052,1.5,64603
229.4748,1.5,64456
229.9182,1.5,64631
229.3605,1.5,64594
229.8246,1.5,64560
228.955,1.5,64417
230.341,1.5,64706
229.6741,1.5,64566
230.0702,1.5,64521
229.2888,1.5,64684
229.8256,1.5,64543
229.7483,1.5,64591
229.4769,1.5,64647
230.2066,1.5,64604
229.4255,1.5,64581
229.9467,1.5,64664
229.437,1.5,64483
229.7532,1.5,64550
230.348,1.5,64612
229.9661,1.5,64529
229.3244,1.5,64701
229.0501,1.5,64662
229.6796,1.5,64600
230.7675,1.5,64618
229.4038,1.5,64486
229.7406,1.5,64547
230.1709,1.5,64667
229.117,1.5,64427
229.2862,1.5,64537
229.3368,1.5,64771
229.1875,1.5,64515
229.6897,1.5,64616
229.4365,1.5,64680
229.3574,1.5,64393
229.7458,1.5,64551
229.2005,1.5,64557
230.0098,1.5,64508
229.5644,1.5,64583
229.8006,1.5,64590
230.6738,1.5,64644
229.747,1.5,64627
229.8744,1.5,64635
229.8346,1.5,64602
230.0525,1.5,64578
229.489,1.5,64625
229.4368,1.5,64546
229.9563,1.5,64677
229.4292,1.5,64655
229.9953,1.5,64498
228.9734,1.5,64685
229.5357,1.5,64584
229.6931,1.5,64530
229.5585,1.5,64561
229.4991,1.5,64672
229.9068,1.5,64554
229.7577,1.5,64644
228.9589,1.5,64643
229.8871,1.5,64507
230.5892,1.5,64957
230.3205,1.5,64648
229.6713,1.5,64565
229.717,1.5,64626
229.5839,1.5,64424
230.7477,1.5,64825
229.4489,1.5,64620
230.2875,1.5,64713
230.1789,1.5,64673
230.0612,1.5,64838
231.4995,1.5,64691
229.1274,1.5,64516
229.8814,1.5,64503
229.7981,1.5,64545
229.3399,1.5,64524
230.0408,1.5,64769
229.3606,1.5,64568
229.2517,1.5,64633
229.4116,1.5,64528
229.3758,1.5,64518
229.6665,1.5,64624
229.5316,1.5,64621
229.6393,1.5,64567
230.9691,1.51,64761
226.5551,1.5,64039
225.4091,1.48,63664
226.7712,1.49,63877
227.7849,1.49,64207
228.9398,1.49,64369
229.7186,1.5,64510
229.2738,1.5,64526
229.5657,1.5,64644
230.0253,1.5,64564
229.6531,1.5,64664
230.2716,1.5,64758
229.7405,1.5,64589
229.7446,1.5,64612
230.6337,1.5,64997
229.8511,1.5,64543
230.1653,1.5,64540
229.6969,1.5,64742
230.1054,1.5,64599
229.2691,1.5,64535
229.9116,1.5,64552
231.4441,1.5,64577
229.5284,1.5,64633
230.1097,1.5,64656
229.9505,1.5,64562
229.6231,1.5,64528
230.0753,1.5,64570
229.9403,1.5,64682
229.4377,1.5,64659
230.1647,1.5,64745
229.4325,1.5,64675
229.9321,1.5,64650
230.3686,1.5,64548
229.7309,1.5,64616
229.6222,1.5,64491
229.4873,1.5,64700
229.8383,1.5,64664
229.9176,1.5,64554
230.317,1.5,64568
229.3237,1.5,64635
229.2456,1.5,64558
229.5992,1.5,64528
229.0747,1.5,64523
229.6448,1.5,64429
230.2099,1.5,64641
228.9104,1.5,64547
229.5823,1.5,64523
229.213,1.5,64594
229.2298,1.5,64619
230.5643,1.5,64524
229.3267,1.5,64701
229.898,1.5,64505
229.5278,1.5,64529
229.6795,1.5,64714
230.1516,1.5,64598
229.6802,1.5,64522
229.4638,1.5,64809
230.1392,1.5,64534
229.3474,1.5,64455
230.163,1.5,64774
230.5203,1.5,64682
229.0764,1.5,64534
229.3445,1.5,64628
228.6832,1.5,64471
228.8889,1.5,64492
229.4268,1.5,64557
229.2856,1.5,64340
229.5361,1.5,64542
229.1527,1.5,64532
229.4377,1.5,64411
229.3128,1.5,64602
230.3024,1.5,64795
229.7188,1.5,64457
229.4882,1.5,64596
229.223,1.5,64589
229.2142,1.5,64472
230.1452,1.5,64431
229.4734,1.5,64614
228.9975,1.5,64532
229.719,1.5,64613
229.3123,1.5,64632
229.6475,1.5,64555
229.8816,1.5,64643
229.2116,1.5,64593
229.501,1.5,64620
229.7022,1.5,64595
229.8168,1.5,64506
229.7745,1.5,64584
229.3835,1.5,64638
229.4508,1.5,64554
228.99400000000003,1.5,64540
229.3021,1.5,64626
229.5596,1.5,64613
229.6525,1.5,64523
229.1477,1.5,64613
229.7448,1.5,64539
228.7911,1.5,64572
229.7395,1.5,64726
229.504,1.5,64587
229.0334,1.5,64478
229.6392,1.5,64700
229.3269,1.5,64521
229.0118,1.5,64657
229.7955,1.5,64627
229.2173,1.5,64503
229.4154,1.5,64575
229.8925,1.5,64606
229.6317,1.5,64678
229.6851,1.5,64555
229.0349,1.5,64597
228.945,1.5,64575
229.7859,1.5,64654
228.9731,1.5,64585
228.9467,1.5,64481
229.691,1.5,64424
229.4995,1.5,64567
229.7159,1.5,64471
229.1781,1.5,64528
229.6183,1.5,64526
229.0666,1.5,64543
229.1277,1.5,64501
229.1439,1.5,64524
229.3311,1.5,64588
229.2368,1.5,64438
228.6902,1.5,64460
228.9853,1.5,64480
228.9636,1.5,64473
229.2126,1.5,64583
229.3752,1.5,64490
229.1129,1.5,64544
229.7136,1.5,64594
229.0076,1.5,64582
229.0995,1.5,64557
229.5283,1.5,64593
228.7414,1.5,64496
229.5972,1.5,64514
229.4718,1.5,64613
229.5269,1.5,64471
229.0616,1.5,64526
228.899,1.5,64515
228.5958,1.5,64495
228.8393,1.5,64531
229.2362,1.5,64564
229.5641,1.5,64492
229.2167,1.5,64512
229.2955,1.5,64503
229.2821,1.5,64469
229.3164,1.5,64582
229.0292,1.5,64442
228.7793,1.5,64491
230.2593,1.5,64555
229.0023,1.5,64485
229.2814,1.5,64548
229.3019,1.5,64617
228.6793,1.5,64461
228.5623,1.5,64481
229.7214,1.5,64627
229.3317,1.5,64466
229.2114,1.5,64517
229.7575,1.5,64668
229.1942,1.5,64417
229.302,1.5,64531
229.2767,1.5,64496
228.8939,1.5,64367
228.8631,1.5,64490
228.8079,1.5,64592
229.3518,1.5,64418
229.3016,1.5,64532
229.2335,1.5,64483
228.5704,1.5,64427
228.3723,1.5,64462
228.8774,1.5,64513
229.0341,1.5,64352
229.0831,1.5,64545
229.3631,1.5,64591
229.5376,1.5,64551
230.0329,1.5,64602
228.8682,1.5,64660
229.758,1.5,64429
229.1045,1.5,64547
228.6455,1.5,64601
229.2016,1.5,64447
229.3524,1.5,64573
229.5772,1.5,64524
228.8943,1.5,64638
229.0249,1.5,64513
228.9355,1.5,64561
228.9832,1.5,64588
229.8598,1.5,64605
230.0156,1.5,64622
229.0173,1.5,64573
229.3426,1.5,64575
228.8358,1.5,64536
228.8135,1.5,64654
228.8947,1.5,64537
229.3114,1.5,64491
229.0029,1.5,64503
228.706,1.5,64455
229.0786,1.5,64547
228.6031,1.5,64524
228.9245,1.5,64582
228.727,1.5,64578
229.0403,1.5,64579
228.8696,1.5,64535
228.8341,1.5,64563
228.7274,1.5,64526
229.0138,1.5,64507
228.8642,1.5,64506
228.6692,1.5,64436
229.6728,1.5,64631
229.0476,1.5,64512
229.0662,1.5,64536
229.8028,1.5,64980
229.0481,1.5,64685
228.5511,1.5,64563
229.4857,1.5,64758
228.3332,1.5,64455
228.9588,1.5,64494
229.3699,1.5,64788
228.7679,1.5,64406
228.8135,1.5,64527
228.5906,1.5,64488
228.8323,1.5,64439
229.1675,1.5,64544
229.2094,1.5,64702
229.1045,1.5,64573
229.1503,1.5,64583
228.6023,1.5,64600
229.4351,1.5,64646
229.1354,1.5,64575
228.9193,1.5,64566
229.3059,1.5,64545
229.6684,1.5,64593
229.223,1.5,64602
229.8781,1.5,64545
229.3373,1.5,64521
229.235,1.5,64776
229.385,1.5,64512
229.1682,1.5,64547
229.19,1.5,64618
229.8745,1.5,64475
229.6897,1.5,64588
229.41,1.5,64568
228.7041,1.5,64391
229.4713,1.5,64608
229.6361,1.5,64616
229.3918,1.5,64534
229.3965,1.5,64566
229.6716,1.5,64715
229.1176,1.5,64467
229.5524,1.5,64495
228.9241,1.5,64599
229.126,1.5,64457
229.1628,1.5,64762
229.1578,1.5,64679
228.9539,1.5,64608
229.6129,1.5,64589
229.4827,1.5,64631
229.2251,1.5,64557
229.6797,1.5,64583
229.2687,1.5,64590
228.5662,1.5,64557
229.3225,1.5,64790
229.0097,1.5,64621
229.3045,1.5,64480
229.4818,1.5,64672
229.7536,1.5,64675
229.2984,1.5,64602
229.0944,1.5,64531
229.5674,1.5,64668
229.342,1.5,64626
229.2766,1.5,64633
229.618,1.5,64575
229.8387,1.5,64570
229.0641,1.5,64546
229.1049,1.5,64628
229.3516,1.5,64546
229.2873,1.5,64549
229.1594,1.5,64588
229.4069,1.5,64570
230.0482,1.5,64756
229.5628,1.5,64635
229.1047,1.5,64624
229.7036,1.5,64772
229.4676,1.5,64684
229.304,1.5,64592
229.3662,1.5,64643
229.3388,1.5,64667
229.6286,1.5,64643
229.7949,1.5,64629
229.0577,1.5,64680
228.7233,1.5,64569
228.7939,1.5,64635
229.3318,1.5,64601
229.2685,1.5,64591
230.7995,1.5,64689
229.1957,1.5,64424
229.3002,1.5,64619
229.2846,1.5,64717
229.1267,1.5,64443
228.8509,1.5,64593
229.0413,1.5,64582
229.7341,1.5,64433
229.0386,1.5,64594
229.8928,1.5,64583
228.8702,1.5,64548
229.1272,1.5,64518
228.8193,1.5,64690
229.302,1.5,64679
229.2232,1.5,64614
229.6095,1.5,64744
229.5619,1.5,64653
229.0622,1.5,64605
229.2675,1.5,64654
229.6648,1.5,64593
228.8494,1.5,64711
229.3298,1.5,64645
228.9881,1.5,64497
