T,t1,t2,t4
31.69308853,30.9,465.8,606.955
31.63464355,30.8,465.5,607.8625
31.51608658,30.5,465.5,607.0353
31.40446854,30.8,465.7,606.8821
31.34063911,30.6,465.4,607.3205
31.297161100000004,30.6,465.5,607.1208
31.21149826,30.6,465.4,607.4762
31.15865898,30.4,465.3,607.6974
31.04261017,30.5,465.1,607.5079
31.0588913,30.6,465.1,606.8507
31.01169777,30.7,465.4,606.5682
31.02458,30.8,465.5,606.4261
31.06347466,30.7,465.5,606.5452
31.05340767,30.6,465.3,607.0163
31.06661987,30.6,465.2,606.7264
30.99546432,30.6,465.3,606.2944
31.014923100000004,30.6,465.4,606.4642
30.9814949,30.4,465.0,606.6163
30.92299652,30.1,465.0,605.0145
30.93476105,30.3,465.0,605.4716
30.94178009,30.4,464.9,606.2230000000001
30.91311073,30.0,465.1,605.4395
30.85614777,30.6,465.1,606.0248
30.835886,30.5,465.0,606.4771
30.82674026,30.5,465.2,606.6339
30.82728004,30.7,465.0,606.8965
30.812318800000003,30.3,465.2,606.9083
30.81383514,30.1,465.0,605.3438
30.78263474,29.9,464.8,606.0882
30.77096748,30.5,464.9,606.0811
30.76734543,31.1,465.2,606.4809
30.81277084,31.0,465.2,606.7399
30.76351547,30.3,464.8,607.0703
30.7635994,30.4,464.7,606.082
30.81855583,30.2,464.6,606.3649
30.79232788,30.1,464.7,606.0496
30.79808807,29.9,464.3,605.1943
30.75098991,30.6,464.9,605.7976
30.69353485,30.7,464.7,606.9716
30.63836861,30.2,464.8,606.1038
30.59108353,30.5,464.9,606.3488
30.60142708,30.2,464.9,606.0053
30.60806847,30.2,464.7,604.9893
30.53959846,30.0,464.8,604.7165
30.48169708,30.2,465.1,605.4362
30.48520088,30.1,464.7,605.3784
30.48833275,30.4,464.8,605.2086
30.49336815,30.4,464.9,605.2502
30.54567909,30.4,465.0,605.6536
30.528965000000003,30.1,464.6,605.3911
30.57435799,30.5,465.0,605.6121
30.53931427,30.3,464.9,605.6533
30.54532051,29.9,464.7,605.2451
30.50894737,30.4,464.6,605.2007
30.47217751,30.4,464.9,605.4918
30.46987915,30.4,464.6,605.3049
30.45981407,29.3,464.3,604.3021
30.42104149,29.6,464.4,603.9621
30.42824745,30.1,464.6,604.1392
30.38401413,30.1,464.9,604.192
30.38265038,30.5,465.1,605.4521
30.34779739,30.1,464.5,605.5848
30.33682442,29.7,464.7,604.9561
30.32177162,29.9,464.4,604.2033
30.30958939,29.9,464.4,604.9248
30.29958153,30.1,464.7,604.8292
30.24093437,29.5,464.3,603.8613
30.22213936,30.2,464.4,604.8838
30.19650459,30.0,464.3,605.6617
30.17699051,30.2,464.6,605.1612
30.13339043,30.3,464.5,605.446
30.15783119,30.3,464.5,605.2864
30.16439438,30.0,464.6,604.308
30.13609886,30.0,464.4,604.3479
30.10053635,30.5,464.5,604.6888
30.10008621,30.0,464.4,605.0778
30.08945847,29.6,464.1,604.3301
30.08200836,29.7,463.9,603.6168
30.09707832,30.0,464.5,604.1934
30.04631996,29.6,464.3,604.6172
30.00535393,30.3,464.2,604.9586
30.00932503,29.8,464.5,604.2773
30.00896645,30.0,464.3,603.8304
30.03315353,30.2,464.4,604.8340000000001
30.03043556,29.9,464.3,604.1514
30.00985527,29.6,463.8,603.8874
30.01379013,30.1,464.3,604.3267
30.02504158,29.9,464.4,604.7582
30.03035164,29.5,464.2,604.3408
30.01518822,29.8,463.7,602.8682
29.99673653,30.0,464.3,604.4047
29.94783974,29.9,464.0,603.6235
29.90901375,29.7,464.0,604.0174
29.91175652,29.9,464.2,604.2315
29.91124725,29.6,463.8,604.0406
29.95009995,30.0,464.2,604.0292
29.94523239,29.8,464.2,603.6665
29.88809967,29.3,464.0,602.7944
29.8613739,29.3,463.7,602.5893
29.866512300000004,30.2,464.0,603.8829
29.86964989,30.3,464.5,603.8688
29.87897682,29.7,464.0,604.2508
29.82888412,30.5,464.3,605.7726
29.81358528,28.9,463.4,604.8735
29.83167839,29.3,463.3,603.6948
29.8018322,29.3,463.6,603.4515
29.78856087,29.9,463.8,603.2993
29.84584045,29.6,464.0,603.8835
29.77057076,29.1,463.8,603.2562
29.75225258,29.6,463.7,603.4914
29.78359222,29.8,464.1,603.8239
29.7771492,29.8,464.1,604.136
29.70975113,29.4,464.2,603.0358
29.66981506,30.0,463.8,602.8085
29.64627266,30.0,464.1,603.0799
29.65795517,29.5,464.0,603.3155
29.60544205,29.9,464.1,602.7404
29.56469917,29.7,464.2,603.3087
29.54959488,29.5,463.8,602.6619
29.55764389,29.5,463.5,602.1354
29.48119736,29.4,463.9,601.8885
29.47612,29.8,464.1,602.1673
29.44624901,29.3,463.9,602.1033
29.38505745,29.2,463.7,602.1862
29.39201736,29.7,464.0,602.7271
29.40663147,29.6,463.8,602.4602
29.39488029,29.2,463.9,601.9133
29.39264297,29.6,463.8,602.543
29.38753891,29.7,463.9,602.1853
29.37196732,29.4,464.0,602.6256
29.32876396,29.1,463.7,602.0341
29.28410912,29.4,463.7,602.4706
29.26745987,29.4,463.6,602.269
29.28712845,29.6,463.9,602.4336
29.28426933,29.4,463.9,602.8073
29.25880814,29.4,463.7,602.1663
29.245458600000003,29.3,463.5,602.2575
29.23822594,29.3,463.5,602.4611
29.22810173,29.5,463.5,601.9349
29.21733284,29.3,463.8,602.0969
29.20623589,29.4,463.7,602.2962
29.2063179,29.2,463.6,602.5534
29.19772148,29.3,463.5,602.6384
29.17113113,29.4,463.6,602.8018
29.20236588,29.5,463.7,602.2812
29.19707108,29.8,463.7,602.191
29.25160408,29.3,463.8,601.9909
29.20067406,29.3,463.6,601.7048
29.18612099,29.4,463.5,601.944
29.21297073,29.7,463.6,602.5701
29.19376373,29.7,463.7,603.1141
29.15706253,29.4,463.6,602.5401
29.16923523,29.2,463.4,602.2365
29.15896606,29.4,463.5,601.6736
29.16876411,29.4,463.5,602.1235
29.14762878,29.1,463.5,601.8499
29.15749931,29.2,463.2,601.8217
29.16307831,29.2,463.3,602.003
29.18340874,29.1,463.2,601.6187
29.19633675,29.0,463.4,601.3514
29.19310379,29.2,463.5,601.5964
29.10666466,29.7,463.6,601.0976
28.98545837,29.3,463.7,601.5818
28.85417938,29.1,463.5,601.6073
28.74662209,29.7,463.4,601.9492
28.61458397,29.4,463.5,602.6649
28.481987,29.3,463.3,602.6024
28.41572762,29.1,463.2,601.6976
28.27907562,28.6,462.8,601.4211
28.14267731,28.8,462.6,601.5656
28.02476311,28.5,462.5,601.4337
27.98926735,28.6,462.5,600.7819
27.94873619,28.9,462.7,601.025
27.95250893,29.0,463.0,601.0794
27.85063362,28.6,462.8,601.2547
27.80894089,28.7,462.5,601.1721
27.83254242,28.8,462.7,601.7491
27.82959747,28.7,462.8,600.9838
27.80003548,28.8,462.8,600.8715
27.77480698,28.8,462.7,601.0858
27.83968544,28.9,462.8,601.2324
27.81921196,28.9,462.9,600.9611
27.83156013,28.8,462.7,601.0618
27.81519508,28.8,462.7,601.6591
27.84334755,28.7,462.8,601.28
27.86851501,28.8,462.6,601.1281
27.841699600000005,28.6,462.7,600.9405
27.78665543,28.5,462.4,600.3262
27.52228165,28.3,462.1,600.1689
27.18880844,28.2,461.8,599.6823
26.92281723,28.2,461.8,599.7248
26.73392105,28.2,461.9,599.1196
26.66775894,28.2,461.9,599.5972
26.6398735,28.0,461.9,599.2711
26.71029282,28.0,461.7,598.9902
26.686176300000003,28.1,461.7,598.7964
26.7660141,28.0,461.8,598.3591
26.78949547,28.0,461.7,598.3869
26.78338051,28.0,461.7,598.474
26.77606964,28.0,461.6,598.7094
26.7777462,28.0,461.6,598.689
26.76747322,28.0,461.5,598.8168
26.78543472,28.1,461.6,598.4816
26.85625076,28.0,461.6,598.234
26.87464714,28.0,461.7,598.3342
26.95648766,28.0,461.7,598.1898
